event_id,actual_label,detection_prediction,detection_confidence,attack_group,group_confidence,predicted_attack_type,attack_confidence,threat_correct,response_severity,recommended_actions,trust_score,trust_decision,ledger_valid_after_logging
evt-000000003,unauthorized_access,attack,0.5776916733529415,access_attack,0.99768442866154,unauthorized_access,0.9381638459816427,True,high,Revoke suspicious credentials | Force password reset | Enable multi-factor authentication | Review IAM policy changes,0.7579,human_review,True
evt-000000005,ddos,attack,0.9859731106534377,network_flooding,0.9851668411325472,ddos,0.5096815476579271,True,high,Enable rate limiting | Block suspicious source traffic | Scale gateway resources | Monitor packet loss and latency,0.7478,human_review,True
evt-000000013,mqtt_flood,attack,0.9763997708752795,network_flooding,0.9997304791747607,mqtt_flood,0.44581749201473275,True,medium,Throttle MQTT publish rates | Inspect abnormal topic activity | Limit broker connection bursts | Monitor queue depth and stream lag,0.7111,human_review,True
evt-000000027,botnet_c2,attack,0.9880262451672401,network_flooding,0.9962020798632288,botnet_c2,0.46730351027747447,True,critical,Isolate compromised devices | Block command-and-control domains | Inspect outbound traffic | Reimage affected nodes,0.7277,human_review,True
evt-000000036,jamming,attack,0.9639271524583244,signal_attack,0.9880082195524387,jamming,0.9876886263451129,True,medium,Switch communication channel | Increase signal monitoring | Inspect RF interference source | Activate backup communication path,0.9758,auto_response,True
evt-000000037,credential_theft,attack,0.5625970539250874,access_attack,0.9664724981119402,credential_theft,0.8798283138585725,True,high,Force credential rotation | Invalidate active sessions | Enable MFA | Review authentication logs,0.7212,human_review,True
evt-000000042,ddos,attack,0.9779134571348768,network_flooding,0.9980141843971632,ddos,0.42516868344838743,True,high,Enable rate limiting | Block suspicious source traffic | Scale gateway resources | Monitor packet loss and latency,0.7015,human_review,True
evt-000000043,replay_attack,attack,0.5130634513726866,access_attack,0.9603510203694035,replay_attack,0.8355165960832872,True,medium,Enforce nonce validation | Reject stale messages | Synchronize device clocks | Review retransmission patterns,0.6743,human_review,True
evt-000000049,credential_theft,normal,0.7044939278392761,,,,,False,,,,missed_detection,
evt-000000056,mqtt_flood,attack,0.9878699828126899,network_flooding,0.9994839452973037,mqtt_flood,0.5037506711912811,True,medium,Throttle MQTT publish rates | Inspect abnormal topic activity | Limit broker connection bursts | Monitor queue depth and stream lag,0.7458,human_review,True
evt-000000068,unauthorized_access,attack,0.5112250947834405,access_attack,0.9839338094155168,unauthorized_access,0.8999650435414102,True,high,Revoke suspicious credentials | Force password reset | Enable multi-factor authentication | Review IAM policy changes,0.7056,human_review,True
evt-000000075,unauthorized_access,attack,0.5648240850949455,access_attack,0.9964509757004403,unauthorized_access,0.9303101380685755,True,high,Revoke suspicious credentials | Force password reset | Enable multi-factor authentication | Review IAM policy changes,0.7476,human_review,True
evt-000000101,unauthorized_access,normal,0.9612043328165591,,,,,False,,,,missed_detection,
evt-000000107,jamming,attack,0.7220366604182453,signal_attack,0.9521894703493801,jamming,0.9585660351536311,True,medium,Switch communication channel | Increase signal monitoring | Inspect RF interference source | Activate backup communication path,0.8403,human_review,True
evt-000000114,mqtt_flood,attack,0.9116873282463748,network_flooding,1.0,mqtt_flood,0.48375197653969054,True,medium,Throttle MQTT publish rates | Inspect abnormal topic activity | Limit broker connection bursts | Monitor queue depth and stream lag,0.6977,human_review,True
evt-000000135,ddos,attack,0.9885698471535926,network_flooding,0.9993447258421442,ddos,0.5018426318718994,True,high,Enable rate limiting | Block suspicious source traffic | Scale gateway resources | Monitor packet loss and latency,0.7452,human_review,True
