,precision,recall,f1-score,support
botnet_c2,0.2032967032967033,0.1689497716894977,0.18453865336658354,219.0
credential_theft,0.9277456647398844,0.8294573643410853,0.8758526603001364,387.0
data_tampering,1.0,1.0,1.0,399.0
ddos,0.41594454072790293,0.40816326530612246,0.41201716738197425,588.0
jamming,1.0,1.0,1.0,193.0
malware,1.0,1.0,1.0,398.0
mqtt_flood,0.4406779661016949,0.47587354409317806,0.4576,601.0
replay_attack,0.7380952380952381,0.8815165876777251,0.8034557235421166,211.0
unauthorized_access,1.0,1.0,1.0,614.0
accuracy,0.7407202216066482,0.7407202216066482,0.7407202216066482,0.7407202216066482
macro avg,0.7473066792179359,0.7515511703452898,0.748162689398979,3610.0
weighted avg,0.7403657875594277,0.7407202216066482,0.7396625475654909,3610.0
